gene,pmid,title,journal,year,query
MMP9,36522308,Aging and aging-related diseases: from molecular mechanisms to interventions and treatments,Signal transduction and targeted therapy,2022,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,37709773,Endoplasmic reticulum stress: molecular mechanism and therapeutic targets,Signal transduction and targeted therapy,2023,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,36737426,Osteoarthritis: pathogenic signaling pathways and therapeutic targets,Signal transduction and targeted therapy,2023,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,32393826,Restoring synovial homeostasis in rheumatoid arthritis by targeting fibroblast-like synoviocytes,Nature reviews. Rheumatology,2020,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,27188578,Calcific aortic stenosis,Nature reviews. Disease primers,2016,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
MMP9,30994890,Endometriosis,Endocrine reviews,2019,"(MMP9 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,24026423,A genome- and phenome-wide association study to identify genetic variants influencing platelet count and volume and their pleiotropic effects,Human genetics,2014,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,12646697,Amino acid variant in the kinase binding domain of dual-specific A kinase-anchoring protein 2: a disease susceptibility polymorphism,Proceedings of the National Academy of Sciences of the United States of America,2003,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,22131368,Replication of loci influencing ages at menarche and menopause in Hispanic women: the Women's Health Initiative SHARe Study,Human molecular genetics,2012,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,25427668,Genome-wide association studies in Africans and African Americans: expanding the framework of the genomics of human traits and disease,Public health genomics,2015,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,20708717,The role of genetic variants in human longevity,Ageing research reviews,2010,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,26256109,Identification of IDUA and WNT16 Phosphorylation-Related Non-Synonymous Polymorphisms for Bone Mineral Density in Meta-Analyses of Genome-Wide Association Studies,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2016,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,30354329,Genetic Susceptibility Loci for Cardiovascular Disease and Their Impact on Atherosclerotic Plaques,Circulation. Genomic and precision medicine,2018,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
PIK3CG,31575382,Pathway Mutations in Breast Cancer Using Whole-Exome Sequencing,Oncology research,2020,"(PIK3CG AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,39370939,The epithelial barrier theory and its associated diseases,Allergy,2024,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,31137555,"Long Noncoding RNA <i>HCP5</i>, a Hybrid HLA Class I Endogenous Retroviral Gene: Structure, Expression, and Disease Associations",Cells,2019,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,24361742,"A gene expression study of normal and damaged cartilage in anteromedial gonarthrosis, a phenotype of osteoarthritis",Osteoarthritis and cartilage,2014,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,27288810,"Neurogenomics in Africa: Perspectives, progress, possibilities and priorities",Journal of the neurological sciences,2016,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,29771307,Assessment of rosacea symptom severity by genome-wide association study and expression analysis highlights immuno-inflammatory and skin pigmentation genes,Human molecular genetics,2018,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,30820026,Epigenetic analysis in rheumatoid arthritis synoviocytes,Experimental & molecular medicine,2019,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,32922758,Promising targets and drugs in rheumatoid arthritis: a module-based and cumulatively scoring approach,Bone & joint research,2020,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
HLA-DMB,33777101,"A Dual Systems Genetics Approach Identifies Common Genes, Networks, and Pathways for Type 1 and 2 Diabetes in Human Islets",Frontiers in genetics,2021,"(HLA-DMB AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,33501848,Heart Disease and Stroke Statistics-2021 Update: A Report From the American Heart Association,Circulation,2021,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,36695182,Heart Disease and Stroke Statistics-2023 Update: A Report From the American Heart Association,Circulation,2023,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,38264914,2024 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,Circulation,2024,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,22243964,Five years of GWAS discovery,American journal of human genetics,2012,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,21297633,"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47",Nature genetics,2011,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,39866113,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,Circulation,2025,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,26386597,The Rotterdam Study: 2016 objectives and design update,European journal of epidemiology,2015,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
FCGR2A,28804483,The Impact of Western Diet and Nutrients on the Microbiota and Immune Response at Mucosal Interfaces,Frontiers in immunology,2017,"(FCGR2A AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,39866113,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association,Circulation,2025,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,33067605,"Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals",Nature metabolism,2020,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,36516495,DNA methylation GrimAge version 2,Aging,2022,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,22102821,Relative burden of large CNVs on a range of neurodevelopmental phenotypes,PLoS genetics,2011,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,36454715,"CGRP physiology, pharmacology, and therapeutic targets: migraine and beyond",Physiological reviews,2023,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,30081074,Identification of transcription factors responsible for dysregulated networks in human osteoarthritis cartilage by global gene expression analysis,Osteoarthritis and cartilage,2018,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,29175309,Altered neuro-inflammatory gene expression in hippocampus in major depressive disorder,Progress in neuro-psychopharmacology & biological psychiatry,2018,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ADM,20444268,Peripheral blood gene expression patterns discriminate among chronic inflammatory diseases and healthy controls and identify novel targets,BMC medical genomics,2010,"(ADM AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,36175067,Synovial fibroblasts assume distinct functional identities and secrete R-spondin 2 in osteoarthritis,Annals of the rheumatic diseases,2023,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,30200227,"ELF3, ELF5, EHF and SPDEF Transcription Factors in Tissue Homeostasis and Cancer","Molecules (Basel, Switzerland)",2018,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,24184314,Effects of age on bone mRNA levels of sclerostin and other genes relevant to bone metabolism in humans,Bone,2014,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,31137555,"Long Noncoding RNA <i>HCP5</i>, a Hybrid HLA Class I Endogenous Retroviral Gene: Structure, Expression, and Disease Associations",Cells,2019,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,24170101,Effects of estrogen on bone mRNA levels of sclerostin and other genes relevant to bone metabolism in postmenopausal women,The Journal of clinical endocrinology and metabolism,2014,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,35359439,"Development, Pathogenesis, and Regeneration of the Intervertebral Disc: Current and Future Insights Spanning Traditional to Omics Methods",Frontiers in cell and developmental biology,2022,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,37586884,International Union of Basic and Clinical Pharmacology CXIII: Nuclear Receptor Superfamily-Update 2023,Pharmacological reviews,2023,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
BIRC5,27076351,Quantitative trait loci identified for blood chemistry components of an advanced intercross line of chickens under heat stress,BMC genomics,2016,"(BIRC5 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,17955331,The Rotterdam Study: objectives and design update,European journal of epidemiology,2007,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,21877163,The Rotterdam Study: 2012 objectives and design update,European journal of epidemiology,2011,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,19728115,The Rotterdam Study: 2010 objectives and design update,European journal of epidemiology,2009,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,25379119,ICON: chronic rhinosinusitis,The World Allergy Organization journal,2014,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,26839654,Genetics of coronary artery disease and myocardial infarction,World journal of cardiology,2016,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,22806142,Systems analysis of eleven rodent disease models reveals an inflammatome signature and key drivers,Molecular systems biology,2012,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,18771588,Isolated populations and complex disease gene identification,Genome biology,2008,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ALOX5AP,20092628,"Systematic analysis, comparison, and integration of disease based human genetic association data and mouse genetic phenotypic information",BMC medical genomics,2010,"(ALOX5AP AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,30177863,Genome-wide association analyses identify 39 new susceptibility loci for diverticular disease,Nature genetics,2018,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,25343990,Genome-wide association study of selenium concentrations,Human molecular genetics,2015,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,19359265,A genome-wide association study identifies a novel locus on chromosome 18q12.2 influencing white cell telomere length,Journal of medical genetics,2009,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,33128006,Genome-wide association study of self-reported walking pace suggests beneficial effects of brisk walking on health and survival,Communications biology,2020,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,37528461,Shared genetic architecture between irritable bowel syndrome and psychiatric disorders reveals molecular pathways of the gut-brain axis,Genome medicine,2023,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,27063557,High-resolution chromosome ideogram representation of recognized genes for bipolar disorder,Gene,2016,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,26359667,Bioinformatics-Based Identification of MicroRNA-Regulated and Rheumatoid Arthritis-Associated Genes,PloS one,2015,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
ARHGAP15,36378475,Rethinking the Genetic Etiology of Nonsyndromic Tooth Agenesis,Current osteoporosis reports,2022,"(ARHGAP15 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
VNN2,38528207,Macrophage re-programming by JAK inhibitors relies on MAFB,Cellular and molecular life sciences : CMLS,2024,"(VNN2 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
VNN2,35495141,Editorial: Current Status and Future Challenges of Biobank Data Analysis,Frontiers in genetics,2022,"(VNN2 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
VNN2,41345833,Proteomic ratio reveals subtype-specific genetic mechanisms and therapeutic targets in osteoarthritis,Clinical proteomics,2025,"(VNN2 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
VNN2,42089751,From early-onset asthma to chronic obstructive pulmonary disease: potential mediating proteins and therapeutic targets,Briefings in bioinformatics,2026,"(VNN2 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,25673412,New genetic loci link adipose and insulin biology to body fat distribution,Nature,2015,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,28430825,Discovery and fine-mapping of adiposity loci using high density imputation of genome-wide association studies in individuals of African ancestry: African Ancestry Anthropometry Genetics Consortium,PLoS genetics,2017,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,31368456,Network Pharmacology-Based Pharmacological Mechanism of the Chinese Medicine Rhizoma drynariae Against Osteoporosis,Medical science monitor : international medical journal of experimental and clinical research,2019,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,38315213,"Preclinical Rodent Models for Human Bone Disease, Including a Focus on Cortical Bone",Endocrine reviews,2024,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,27533615,Genetics of osteoporosis: searching for candidate genes for bone fragility,Archives of endocrinology and metabolism,2016,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,32553114,A trans-eQTL network regulates osteoclast multinucleation and bone mass,eLife,2020,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,36292765,"Hereditary Metabolic Bone Diseases: A Review of Pathogenesis, Diagnosis and Management",Genes,2022,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
SNX10,33193107,The Genetic Architecture of High Bone Mass,Frontiers in endocrinology,2020,"(SNX10 AND (""genome-wide association"" OR ""GWAS"") AND (""bone mineral density"" OR ""osteoporosis"" OR ""fracture"" OR ""osteoarthritis"" OR ""hip fracture"" OR ""BMD"")) AND SRC:MED"
